,blast,Unnamed: 1,distance,ppv,frequency,aop,Blast No.,Date of blast,Location of blast ,Hole dia. [mm],Hole depth [m],No. of holes,Avg. Burden [m],Avg.Spacing [m],No. of deck,Avg. top stemming length [m],Avg. charge/hole [kg],Total charge [kg],Max.charge delay [kg],Explosive type
0,B1,,150,9.16,44.3,120,B1,2012-12-15,"2nd bench No.208, Pit-1",115,5.25,21,4.0,5.5,Nil,2.5,24.01,504.25,24.01,ANFO with Emulboost and Nonel initiation system
1,B1,,200,4.39,24.9,115.4,B1,2012-12-15,"2nd bench No.208, Pit-1",115,5.25,21,4.0,5.5,Nil,2.5,24.01,504.25,24.01,ANFO with Emulboost and Nonel initiation system
2,B1,,240,3.27,27.9,125.6,B1,2012-12-15,"2nd bench No.208, Pit-1",115,5.25,21,4.0,5.5,Nil,2.5,24.01,504.25,24.01,ANFO with Emulboost and Nonel initiation system
3,B1,,290,3.048,85.3,122,B1,2012-12-15,"2nd bench No.208, Pit-1",115,5.25,21,4.0,5.5,Nil,2.5,24.01,504.25,24.01,ANFO with Emulboost and Nonel initiation system
4,B1,,340,2.74,142,122.8,B1,2012-12-15,"2nd bench No.208, Pit-1",115,5.25,21,4.0,5.5,Nil,2.5,24.01,504.25,24.01,ANFO with Emulboost and Nonel initiation system
5,B2,,215,6.63,180,111.2,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
6,B2,,250,6.43,41.1,114,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
7,B2,,300,4.572,93,110,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
8,B2,,215,9.12,32.4,123.6,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
9,B2,,215,3.13,50.3,109.5,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
10,B2,,265,2.37,73.1,119,B2,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,2,4.5,7.0,Nil,2.5,43.0,86.0,43.0,ANFO with Kelvex P and Nonel initiation system
11,B3,,215,8.23,115,110.2,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
12,B3,,250,7.59,46.4,114,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
13,B3,,300,5.588,42.6,110,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
14,B3,,215,11.9,43.9,118.6,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
15,B3,,215,3.03,55.5,114,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
16,B3,,265,3.61,85.3,118,B3,2012-12-16,"3rd bench No.306, Pit-1",115,8.0,3,4.5,7.0,Nil,2.5,43.0,129.0,43.0,ANFO with Kelvex P and Nonel initiation system
17,B4,,150,7.97,45,119.1,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
18,B4,,200,6.477,35.3,114,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
19,B4,,250,3.4,16.8,111.8,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
20,B4,,300,3.26,17.6,111,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
21,B4,,250,7.04,26,118.8,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
22,B4,,300,4.27,42.6,117,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
23,B4,,250,3.84,28.8,122.3,B4,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,4,4.5,7.5,One of 1.0 m,2.5,53.12,212.49,53.12,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
24,B5,,150,5.4,99.1,115.6,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
25,B5,,200,4.191,24.9,112,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
26,B5,,250,3.23,64,109,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
27,B5,,300,2.13,24.8,109.2,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
28,B5,,250,4.99,122,116.9,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
29,B5,,300,2.32,36.5,114,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
30,B5,,250,3.11,30.8,115.6,B5,2012-12-17,"2nd bench No.206, Pit-1",115,10.5,3,4.5,7.5,Nil,2.5,65.33,196.0,65.33,ANFO with Kelvex P and Nonel initiation system
31,B6,,250,4.06,28.8,124.1,B6,2012-12-17,"3rd bench No.3001, Pit-2",115,9.0,10,4.5,7.0,One of 1.0 m,2.5,46.15,461.51,92.3,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
32,B6,,300,3.0,27.9,119.4,B6,2012-12-17,"3rd bench No.3001, Pit-2",115,9.0,10,4.5,7.0,One of 1.0 m,2.5,46.15,461.51,92.3,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
33,B6,,350,2.25,18,118.1,B6,2012-12-17,"3rd bench No.3001, Pit-2",115,9.0,10,4.5,7.0,One of 1.0 m,2.5,46.15,461.51,92.3,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
34,B6,,400,2.73,11.4,116.7,B6,2012-12-17,"3rd bench No.3001, Pit-2",115,9.0,10,4.5,7.0,One of 1.0 m,2.5,46.15,461.51,92.3,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
35,B6,,430,3.175,11.7,117,B6,2012-12-17,"3rd bench No.3001, Pit-2",115,9.0,10,4.5,7.0,One of 1.0 m,2.5,46.15,461.51,92.3,ANFO with Kelvex P and Nonel initiation system with wooden spacer of 1.0 m
36,B7,,150,10.8,34.8,126.4,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
37,B7,,210,9.93,58.4,120.3,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
38,B7,,300,6.223,17,118,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
39,B7,,375,3.28,29.1,115,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
40,B7,,365,3.51,26.9,130,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
41,B7,,415,2.12,25.6,126,B7,2012-12-18,"2nd bench No.2001, Pit-2",115,9.25,6,4.0,6.0,Nil,2.5,51.33,308.0,51.33,ANFO with Kelvex P and Nonel initiation system
42,B8,,450,1.87,15.5,109.5,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
43,B8,,485,1.64,13.9,104.9,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
44,B8,,540,1.18,17.9,107.5,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
45,B8,,580,0.5, , ,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
46,B8,,550,1.56,23.2,115,B8,2012-12-18,"1st bench No.1002, Pit-2",115,7.5,14,4.5,7.0,Nil,3.0,38.11,533.5,38.11,ANFO with Emulboost and Nonel initiation system
